# run:lumi:event | A: std(pt,eta,phi) out(pt,eta,phi) | B: std(pt,eta,phi) out(pt,eta,phi) | cosA dt ndof_ok pair_cosmic cand_dup
1:10275:65480997 | A std(61.90,-1.1240,-2.3276) out(109.21,-1.1210,-2.3484) | B std(61.90,-1.1240,-2.3276) out(0.00,+0.0000,+0.0000) | cosA=+0.99992 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:900:5732087 | A std(84.88,+0.2863,-1.7815) out(95.61,+0.2874,-1.7800) | B std(84.88,+0.2863,-1.7815) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:10312:65715231 | A std(67.68,-1.3140,+2.2882) out(74.66,-1.3162,+2.2863) | B std(67.68,-1.3140,+2.2882) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:10478:66770971 | A std(146.25,+0.7612,-1.3291) out(100.81,+0.7653,-1.3378) | B std(146.25,+0.7612,-1.3291) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:10521:67046579 | A std(37.94,-0.9111,-1.7934) out(39.45,-0.9079,-1.7959) | B std(37.94,-0.9111,-1.7934) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:10692:68138019 | A std(218.05,-0.9233,+1.5499) out(87.41,-0.9258,+1.5662) | B std(218.05,-0.9233,+1.5499) out(0.00,+0.0000,+0.0000) | cosA=+0.99994 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:10560:67298289 | A std(102.95,-0.3124,-1.2291) out(419.32,-0.3127,-1.2698) | B std(102.95,-0.3124,-1.2291) out(0.00,+0.0000,+0.0000) | cosA=+0.99925 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:10720:68317617 | A std(73.55,-0.4486,-1.6935) out(92.17,-0.4495,-1.7028) | B std(73.55,-0.4486,-1.6935) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:10826:68988728 | A std(54.04,+0.2717,-2.7774) out(73.65,+0.2695,-2.7958) | B std(54.04,+0.2717,-2.7774) out(0.00,+0.0000,+0.0000) | cosA=+0.99984 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1956:12464379 | A std(75.01,-0.4365,-1.5906) out(39.36,-0.4374,-1.5449) | B std(75.01,-0.4365,-1.5906) out(0.00,+0.0000,+0.0000) | cosA=+0.99913 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:10607:67597251 | A std(39.26,+0.7111,-1.9117) out(44.39,+0.7165,-1.9192) | B std(39.26,+0.7111,-1.9117) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:10807:68868744 | A std(54.32,-0.7061,-1.6792) out(40.75,-0.7140,-1.6866) | B std(54.32,-0.7061,-1.6792) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
