# run:lumi:event  inner_cosA  outer_cosA  zero  dt(outer up-lo)  ndof_ok  lead_out(pt,eta,phi)  sub_out(pt,eta,phi)
1:3334:21243062  inner=+1.00000  outer=-0.99998  zero=0  dt=-52.307  ndof_ok=1  lead(286.41,+1.1924,-2.2979)  sub(126.79,-1.1858,+0.8544)
1:3318:21142884  inner=+1.00000  outer=-0.99446  zero=0  dt=-54.693  ndof_ok=1  lead(2123.35,-1.0523,+1.1877)  sub(19.02,+1.0386,-1.7861)
1:332:2110327  inner=+1.00000  outer=-0.99997  zero=0  dt=-72.002  ndof_ok=1  lead(284.01,+1.0404,+2.0454)  sub(1590.71,-1.0347,-1.0854)
1:3295:20998510  inner=+0.99999  outer=-0.93844  zero=0  dt=-50.456  ndof_ok=0  lead(306.86,-0.9860,-0.8617)  sub(6.31,+1.3547,+1.7735)
1:3588:22865272  inner=+1.00000  outer=-0.89391  zero=0  dt=-40.439  ndof_ok=1  lead(264.65,-0.4676,+1.2320)  sub(7.48,+0.4590,-1.3930)
1:3388:21585931  inner=+1.00000  outer=-0.96312  zero=0  dt=-32.662  ndof_ok=1  lead(1345.58,+0.7359,-2.7212)  sub(38.30,-0.4228,+0.3537)
1:3392:21615434  inner=+1.00000  outer=-0.82935  zero=0  dt=-28.940  ndof_ok=1  lead(205.23,-0.1565,-2.0763)  sub(6.52,+0.1825,+1.6664)
1:1163:7407309  inner=+1.00000  outer=-0.99997  zero=0  dt=-61.795  ndof_ok=1  lead(352.31,+1.1624,+0.1866)  sub(224.26,-1.1533,-2.9445)
1:3563:22703660  inner=+1.00000  outer=-0.99724  zero=0  dt=-44.873  ndof_ok=1  lead(32.07,+0.1379,+2.4465)  sub(264.83,-0.1207,-0.6222)
1:3590:22873990  inner=+1.00000  outer=-0.99919  zero=0  dt=-51.611  ndof_ok=1  lead(73.64,-0.7488,+0.3466)  sub(152.38,+0.7201,-2.8380)
1:3868:24650318  inner=+0.99999  outer=-0.98008  zero=0  dt=-61.886  ndof_ok=1  lead(23.24,-0.8246,-0.9887)  sub(235.84,+0.6298,+2.3181)
1:3885:24754144  inner=+1.00000  outer=-0.74795  zero=0  dt=+85.722  ndof_ok=0  lead(289.69,+0.2727,-1.9247)  sub(16.45,-1.1315,+1.5515)
1:4058:25860181  inner=+1.00000  outer=-0.99996  zero=0  dt=-53.768  ndof_ok=1  lead(214.02,+0.9107,+1.7146)  sub(356.12,-0.9207,-1.4190)
1:826:5257992  inner=+1.00000  outer=-0.99996  zero=0  dt=-98.433  ndof_ok=0  lead(235.42,+0.9064,-2.3062)  sub(555.80,-0.8948,+0.8421)
1:826:5263563  inner=+1.00000  outer=-0.99562  zero=0  dt=-37.964  ndof_ok=1  lead(378.23,-0.3272,-0.8402)  sub(230.52,+0.4275,+2.3053)
1:833:5308383  inner=+1.00000  outer=-0.99960  zero=0  dt=-59.673  ndof_ok=1  lead(694.98,+0.9312,-1.0255)  sub(188.08,-0.9723,+2.1073)
1:769:4895153  inner=+0.99999  outer=-0.88267  zero=0  dt=-19.494  ndof_ok=0  lead(238.36,+0.1453,-1.0902)  sub(6981.77,+0.3515,+2.0488)
1:3996:25466139  inner=+1.00000  outer=-0.99999  zero=0  dt=-32.766  ndof_ok=1  lead(177.99,+0.4044,-0.2309)  sub(1756.75,-0.4064,+2.9072)
1:172:1093448  inner=+1.00000  outer=-0.99970  zero=0  dt=-32.666  ndof_ok=1  lead(79.85,+0.7404,-0.9336)  sub(258.37,-0.7453,+2.1769)
1:3834:24432114  inner=+1.00000  outer=-0.99706  zero=0  dt=-46.700  ndof_ok=0  lead(295.59,+1.0516,-1.7021)  sub(26.15,-1.0342,+1.3182)
1:3769:24017127  inner=+1.00000  outer=-0.99991  zero=0  dt=-29.628  ndof_ok=1  lead(237.56,-0.2102,-1.6792)  sub(294.71,+0.2033,+1.4507)
